Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A data scientist is tasked with improving the accuracy of an LLM-powered chatbot that answers user questions based on internal company documents stored in Snowflake. They decide to implement a Retrieval Augmented Generation (RAG) architecture using Snowflake Cortex Search. Which of the following statements correctly describe the features and considerations when leveraging Snowflake Cortex Search for this RAG application? (Select all that apply),multi-select,"Cortex Search automatically handles text chunking and embedding generation for the source data, eliminating the need for manual ETL processes for these steps.",,"To create a Cortex Search Service, one must explicitly specify an embedding model and manually manage its underlying infrastructure, similar to deploying a custom model via Snowpark Container Services.",,"For optimal results with Cortex Search, source text should be pre-split into chunks of no more than 512 tokens, even when using models with larger context windows like snowflake-arctic-embed-l-v2.0-8k.",,"The snowflake-arctic-embed-l-v2.0-8k model is a fully managed embedding model provided by Snowflake, specifically optimized for use with Cortex Search.",,Enabling change tracking on the source table for the Cortex Search Service is optional; the service will still refresh automatically even if change tracking is disabled.,,,,"1,4",,
"A data application developer is building a Streamlit application within Snowflake. This application uses a RAG pattern to answer user questions about a knowledge base, leveraging a Cortex Search Service for retrieval and an LLM for generating responses. The developer wants to ensure responses are relevant, concise, and structured. Which of the following practices are crucial when integrating Cortex Search with Snowflake Cortex LLM functions like AI_COMPLETE for this RAG chatbot?",multi-select,The snowflake-arctic-embed-l-v2.0-8k embedding model must be manually specified in the Cortex Search Service configuration to ensure compatibility with the AI_COMPLETE function.,,"To maintain conversational context in a multi-turn chat, the developer should pass all previous user prompts and model responses in the AI_COMPLETE function's chat_history parameter.",,"The retrieved context from Cortex Search should be directly concatenated with the user's prompt as input to the AI_COMPLETE function, using a system prompt to instruct the LLM on how to use the provided context.",,Using the SNOWFLAKE.CORTEX.EMBED_TEXT_768 function is redundant and inefficient when a Cortex Search Service is already being used for retrieval.,,"For performance and cost optimization, it is always recommended to query Cortex Search and the LLM function within a single stored procedure to minimize network latency.",,,,"2,3,4",,
"A security administrator at a large financial institution needs to enforce a strict policy on which Large Language Models (LLMs) from Snowflake Cortex can be used within their account. They specifically want to restrict access to only llama3.1-8b and mistral-7b for all users calling Cortex functions like AI_COMPLETE and TRY_COMPLETE, as well as those interacting through the Cortex LLM Playground. Additionally, a data science team has developed and registered a custom schema-level model object named custom_sentiment_model (which wraps an approved LLM) and granted USAGE on it to a specific ds_team_role. Which of the following statements accurately describe the outcome of this configuration?",multi-select,"The 'ACCOUNTADMIN' must execute the SQL command: ALTER ACCOUNT SET CORTEX_MODELS_ALLOWLIST = ('llama3.1-8b', 'mistral-7b');",,"Users with ds_team_role will still be able to successfully call SELECT SNOWFLAKE.CORTEX.COMPLETE('custom_sentiment_model', 'review text');",,"If a user attempts to call an LLM not explicitly listed in the CORTEX_MODELS_ALLOWLIST via the Cortex LLM Playground, Snowflake will automatically fall back to the snowflake-arctic model for that request.",,"The CORTEX_MODELS_ALLOWLIST parameter provides granular control at the database or schema level, allowing administrators to define different sets of approved models for different data contexts.",,Enabling Cortex Guard for AI_COMPLETE through the guardrails option automatically bypasses the CORTEX_MODELS_ALLOWLIST to ensure all LLMs can be used for content safety filtering.,,,,"1,2",,
"An ML engineer is preparing a Docker image for a custom LLM application that will be deployed to Snowpark Container Services (SPCS). The application uses a mix of packages, some commonly found in the Snowflake Anaconda channel and others from general open-source repositories like PyPI. They have the following Dockerfile snippets and need to ensure the dependencies are correctly installed for the SPCS environment to support a GPU workload. Which of the following approaches for installing Python packages in the Dockerfile would ensure a robust and compatible setup for a custom LLM running in Snowpark Container Services, based on best practices for managing dependencies in this environment?",multiple-choice,RUN pip install snowflake-ml-python snowflake-snowpark-python pandas jupyterlab transformers==4.34.0 tokenizers peft sentencepiece vllm bitsandbytes datasets absl-py==1.3.0,,RUN conda install -n rapids -c https://repo.anaconda.com/pkgs/snowflake snowflake-ml-python snowflake-snowpark-python pandas jupyterlab transformers==4.34.0 tokenizers peft sentencepiece vllm bitsandbytes datasets absl-py==1.3.0 && pip install transformers==4.34.0 tokenizers peft sentencepiece vllm bitsandbytes datasets absl-py==1.3.0,,RUN conda install -n rapids -c conda-forge snowflake-ml-python snowflake-snowpark-python pandas jupyterlab transformers==4.34.0 tokenizers peft sentencepiece vllm bitsandbytes datasets absl-py==1.3.0 && pip install peft sentencepiece vllm bitsandbytes datasets absl-py==1.3.0,,RUN conda install -n rapids -c defaults snowflake-ml-python snowflake-snowpark-python pandas jupyterlab transformers==4.34.0 tokenizers peft sentencepiece vllm bitsandbytes datasets absl-py==1.3.0 && pip install transformers==4.34.0 tokenizers peft sentencepiece vllm bitsandbytes datasets absl-py==1.3.0,,RUN apt-get update && apt-get -y --no-install-recommends install python3-pip && pip install --no-cache-dir -r requirements.txt,,,,2,,
"A Gen AI Specialist is tasked with preparing a Cortex Analyst semantic model to provide a predefined set of initial questions for new business users to explore their data. They want these specific questions to always be displayed, irrespective of what the user might initially type, as part of an onboarding experience. Which of the following actions, or combinations of actions, must the Specialist take to successfully configure a semantic model to display a full set of predefined ""onboarding questions"" in Cortex Analyst?",multi-select,Define a Verified Query Repository (VQR) within the semantic model YAML file and include the specific questions as verified queries.,,"For each desired onboarding question in the VQR, set the use_as_onboarding_question flag to true.",,Ensure that the ENABLE_ONBOARDING_QUESTIONS parameter is set to TRUE in the semantic model's configuration.,,Limit the total number of onboarding questions to a maximum of five to ensure they are all displayed.,,Provide a detailed description for each measure and dimension in the model's YAML file to improve the quality of results.,,,,"1,2",,
A data scientist is designing a Retrieval Augmented Generation (RAG) system in Snowflake for querying a large knowledge base of internal documents. They plan to store document embeddings and use vector similarity for retrieval. Which statement accurately describes the use of vector similarity functions and associated costs in this RAG architecture?,multiple-choice,"The VECTOR_INNER_PRODUCT function is less efficient than other vector similarity functions in Snowflake, leading to higher compute costs.",,"Storing vector embeddings, created using functions like EMBED_TEXT_768, incurs additional storage costs but does not impact query compute costs.",,"When using VECTOR_INNER_PRODUCT for similarity search, standard Snowflake compute costs apply, and there is no additional premium fee for using vector functions.",,"VECTOR_COSINE_SIMILARITY and VECTOR_L2_DISTANCE are not supported in Snowpark Python, limiting development options for RAG systems.",,"Snowpark Python fully supports all Snowflake vector similarity functions, including VECTOR_INNER_PRODUCT, VECTOR_L1_DISTANCE, and VECTOR_COSINE_SIMILARITY.",,,,3,,
"An ML engineer has developed a custom PyCaret classification model and wants to deploy it to Snowpark Container Services (SPCS) for inference using the Snowflake Model Registry. The model requires specific versions of pycaret, scipy, and joblib. The engineer also wants to make the service accessible via an HTTP endpoint. Which of the following Model Registry and service creation steps are most appropriate for the ML engineer? (Select all that apply)",multi-select,"Ensure the ModelContext specifies the model_file attribute pointing to the serialized PyCaret model, for example: custom_model_context = ModelContext(model_file=""pycaret_best_model.pkl"").",,"Log the model using reg.log_model, specifying conda_dependencies which would be resolved from the Snowflake Anaconda channel for warehouse deployment, and setting target_platforms to [""SNOWPARK_CONTAINER_SERVICES""].",,"Log the model using reg.log_model, specifying pip_requirements with exact versions like ""pycaret==3.1.1"", ""scipy==1.11.4"", and ""joblib==1.2.0"", as pip_requirements are often necessary for custom third-party Python packages in SPCS.",,"Create the service using model.create_service, ensuring ingress_enabled = True and specifying gpu_requests = 1 if the compute pool is GPU-enabled.",,"Opt for warehouse deployment instead of SPCS, as PyCaret is not natively supported by Snowflake and managing its dependencies in SPCS would be overly complex compared to a warehouse.",,,,"1,3,4",,
"A data platform team designs an AI-powered pipeline within Snowflake. The pipeline first uses AI_PARSE_DOCUMENT to extract information from sensitive PDF invoices stored in a stage. Next, it uses SNOWFLAKE.CORTEX.EMBED_TEXT_1024 on the extracted text to create embeddings, and finally, SNOWFLAKE.CORTEX.COMPLETE with mistral-large2 to summarize key invoice details. The account has CORTEX_ENABLED_CROSS_REGION set to ANY_REGION. At which point in this pipeline, if any, could customer document content, extracted text, or embeddings potentially leave Snowflake's governance boundary to a third-party LLM provider (assuming default Snowflake configurations for Cortex functions)?",multiple-choice,"During the AI_PARSE_DOCUMENT step, as it uses advanced LLMs which might be externally hosted for document processing.",,"During the CORTEX.COMPLETE function call using mistral-large2, since this model may be hosted externally and can involve data egress beyond Snowflake's internal boundary.",,"During the EMBED_TEXT_1024 step, especially with CORTEX_ENABLED_CROSS_REGION = ANY_REGION, since embeddings might be generated by an external service.",,"The CORTEX_MODELS_ALLOWLIST setting, if not properly configured, could cause egress during COMPLETE.",,Data for all these operations always remains within Snowflake's governance boundary.,,,,2,,
A data engineering team is building a Retrieval Augmented Generation (RAG) pipeline that heavily relies on SNOWFLAKE.CORTEX.EMBED_TEXT_768 to process millions of documents daily. They need to optimize for both cost and retrieval quality. Which of the following statements are true regarding the cost and performance of EMBED_TEXT_768 in Snowflake? (Select all that apply),multi-select,"The EMBED_TEXT_768 function is billed based on the number of 'output tokens' generated by the embedding model, as this represents the computational complexity of the vector.",,"To minimize costs for EMBED_TEXT_768 operations, it is recommended to execute queries using a smaller virtual warehouse (no larger than MEDIUM), as larger warehouses do not improve performance for these functions.",,"The snowflake-arctic-embed-m-v1.5 model, used by EMBED_TEXT_768, has a context window of 512 tokens, and texts exceeding this length are truncated before embedding.",,"For optimal retrieval quality in RAG scenarios, text should be split into chunks of no more than 512 tokens before being passed to EMBED_TEXT_768, even if the model supports a larger context window.",,"The EMBED_TEXT_768 function, regardless of the 768-dimension model used, has a fixed cost of 1.50 Credits per one million Tokens processed.",,,,"2,3,4,5",,
"A data engineering team is optimizing an AI-infused pipeline that processes millions of rows of customer interaction data in a LOG_DATA table using various Snowflake Cortex AI functions. They need to accurately estimate costs and ensure optimal performance. Which of the following statements regarding cost, performance, and operational considerations for these functions are true? (select all that apply)",multi-select,"When using AI_COMPLETE or COMPLETE for generating responses, both input and output tokens are billable. The total tokens processed increase proportionally if previous conversation history is passed to a stateful experience.",,"For functions like AI_CLASSIFY or AI_SENTIMENT, only input tokens are counted towards the billable total, as these functions do not generate new text but rather categorize or score existing text.",,"The AI_AGG function is not subject to context window limitations when aggregating text columns across multiple rows, allowing it to process large volumes of text without exceeding token limits.",,Executing queries that call Cortex AI functions such as AI_COMPLETE or AI_AGG in an X-LARGE or larger warehouse will significantly improve their processing speed and reduce overall latency.,,"For Cortex Analyst, credit usage is based on the number of messages processed, regardless of the number of tokens in each message, with billing occurring only for successful responses (HTTP 200).",,,,"1,2",,
"An operations manager is concerned about governance and monitoring of a newly deployed Cortex Analyst application, especially regarding cost tracking and multi-turn conversations. Which statement accurately describes a feature for monitoring or managing a Cortex Analyst application?",multiple-choice,"Credit consumption for Cortex Analyst is primarily based on the number of tokens processed by the underlying LLMs, with complex questions leading to higher token usage and increased costs.",,"Cortex Analyst's multi-turn conversation feature inherently caches previous responses to reduce inference latency, which can be cleared using a RESET_CONVERSATION command to optimize costs.",,"Administrators can query the SNOWFLAKE.CORTEX_ANALYST_REQUESTS function, specifying either 'SEMANTIC_MODEL' or 'SEMANTIC_VIEW' for the semantic model type, to review details such as user questions, generated SQL, and errors.",,Enabling Azure OpenAI models via the ENABLE_CORTEX_ANALYST_MODEL_AZURE_OPENAI parameter ensures that all customer data and prompts remain within Snowflake's governance boundary and respect RBAC policies for those models.,,"To provide a stateful conversational experience, the Cortex Analyst REST API automatically retains the full conversation history for a user, removing the need to explicitly pass it with each new prompt.",,,,3,,
A development team is preparing to deploy a new Retrieval-Augmented Generation (RAG) application written in Python. They intend to use Snowflake AI Observability with the TruLens SDK to capture detailed logs and traces for debugging and performance analysis. Which of the following configurations are essential prerequisites for enabling this logging capability effectively? (Select all that apply),multi-select,TRULENS_OTEL_TRACING environment variable,,Required TruLens packages,,Required roles (SNOWFLAKE_CORTEX_USER + AI_OBSERVABILITY_EVENTS_LOOKUP),,Must run exclusively in Snowflake Notebook,,CREATE EXTERNAL AGENT and CREATE TASK privileges,,,,"1,2,3",,
"A data engineering team is developing a Cortex Analyst semantic model in YAML for an e-commerce platform. They need to ensure high accuracy for common queries, improve literal matching for product names, and understand limitations for supported data types. Which of the following statements correctly describe aspects of semantic model configuration or capabilities for these requirements? (select three)",multi-select,"To improve literal matching for a product_name dimension, a Cortex Search Service can be integrated by specifying a cortex_search_service block within the dimension's definition",,The semantic model definition supports using VARIANT and OBJECT data types for dimension and fact columns,,Highly accurate SQL queries for specific natural language questions can be pre-defined and suggested to users by adding them to the verified_queries section,,"For dimensions with millions of unique values, such as customer_id, leveraging the sample_values field is recommended to guide literal search and avoid LLM context window limits",,"The semantic model's base_table parameter can directly point to a stage location, allowing YAML files on that stage to serve as the direct data source",,,,"1,2,3",,
"An ML engineer is developing a RAG application in Python and wants to use the TruLens SDK to trace the distinct phases of its execution, specifically the context retrieval and answer generation steps. They aim to clearly differentiate the tracing of the function responsible for retrieving context. Which code snippet correctly instruments the retrieve_context function for tracing with the appropriate span type for a retrieval operation?",multiple-choice,"from trulens_core import instrument, SpanAttributes; @instrument(span_type=SpanAttributes.SpanType.RETRIEVAL) def retrieve_context(self, query: str) -> list: # ... retrieval logic ... return self._retrieve(query)",,"from trulens_core import instrument; @instrument(span_type='RETRIEVAL') def retrieve_context(self, query: str) -> list: # ... retrieval logic ... return self._retrieve(query)",,"from trulens_core import instrument, SpanAttributes; @instrument(span_type=SpanAttributes.SpanType.GENERATION) def retrieve_context(self, query: str) -> list: # ... retrieval logic ... return self._retrieve(query)",,"from trulens_core import instrument; @instrument() def retrieve_context(self, query: str) -> list: # ... retrieval logic ... return self._retrieve(query)",,"from trulens_core import trace_function, SpanTypes; @trace_function(SpanTypes.RETRIEVAL) def retrieve_context(self, query: str) -> list: # ... retrieval logic ... return self._retrieve(query)",,,,1,,
"A data architect is evaluating the shift from managing Cortex Analyst semantic models as YAML files on internal stages to leveraging a native semantic view (currently in Public Preview). They want to understand the key differences and advantages or considerations of this new native approach. Which of the following statements accurately describe a key characteristic or implication of using native semantic views for Cortex Analyst, compared to YAML files stored in a stage? (select all that apply)",multi-select,"Native semantic views eliminate the need for an underlying base_table definition, as the view itself directly defines the logical structure and data source for Cortex Analyst queries.",,"When a semantic model is stored as a native semantic view, the CORTEX_ANALYST_REQUESTS function must be called with 'SEMANTIC_VIEW' as the semantic_model_or_view_type parameter, along with the view's fully qualified name.",,Migrating to native semantic views automatically grants SELECT privileges to the SNOWFLAKE.CORTEX_ANALYST_USER database role on all underlying tables referenced by the semantic model.,,"Native semantic views offer full support for VARIANT, OBJECT, GEOGRAPHY, and ARRAY data types within their dimension and fact columns, overcoming limitations of YAML-based models.",,"Semantic models defined as native semantic views are exclusively managed through Snowflake's Snowsight UI, removing the option for programmatic updates via SQL or the Snowflake CLI for enhanced control.",,,,"2,4",,
"A machine learning team has fine-tuned a llama3.1-70b model for a specialized task using Snowflake Cortex Fine-tuning, named prod_llama_responder. They now need to deploy this model for inference via the Cortex REST API across different Snowflake regions and manage its lifecycle effectively. Which of the following statements regarding the fine-tuned model's deployment, access, and management are accurate? (Select all that apply)",multi-select,"Fine-tuned models, such as prod_llama_responder, are managed through the Snowflake Model Registry's Python API, allowing programmatic updates to the model with new training data via a log_model() call.",,"To use a fine-tuned model via the Cortex REST API, the model argument in the API call should be its fully-qualified name, e.g., ""model"": ""<database>.<schema>.prod_llama_responder"".",,"If the fine-tuned model was trained in an AWS US West 2 (Oregon) account but needs to be accessed by an application in an Azure West Europe (Netherlands) account, Snowflake's cross-region inference feature handles this automatically without any additional configuration for the account.",,"The CORTEX_MODELS_ALLOWLIST account parameter can be used by administrators to restrict which specific LLMs, including fine-tuned models, are available for use with Cortex LLM functions and the REST API within a Snowflake account.",,"Fine-tuned models created with SNOWFLAKE.CORTEX.FINETUNE('CREATE', ...) are immutable; to update prod_llama_responder with improved performance, a new fine-tuning job must be created and trained.",,,,"2,4,5",,
